commit	val_bpb	memory_gb	status	description
617bcbf	0.997900	1.0	keep	autoresearch ava-training 2509.23106v1 smoke — Effective Quantization of Muon Optimizer for Low-Bit LLM Tra
617bcbf	0.997900	1.0	keep	autoresearch ava-training 2507.11005v1 smoke — AdaMuon: Adaptive Learning Rate Extension for Muon Optimizer
617bcbf	0.997900	1.0	keep	autoresearch ava-training 2506.15054v1 smoke — Muon Under Spectral Norm: Analysis of Convergence
617bcbf	0.997900	1.0	keep	autoresearch ava-training 2407.19929v1 smoke — The Optimization Landscape of Muon: Why Orthogonalization He
617bcbf	0.997900	1.0	keep	autoresearch ava-training 2406.20092v2 smoke — YaRN: Efficient Context Window Extension of Large Language M
617bcbf	0.997900	1.0	keep	autoresearch ava-training 2408.06081v2 smoke — LongRoPE2: Near-Lossless LLM Context Window Scaling
617bcbf	0.997900	1.0	keep	autoresearch ava-training 2410.05192v3 smoke — Understanding Warmup-Stable-Decay Learning Rates: A River Va
8878fdb	0.997900	1.0	keep	autoresearch ava-training 2601.09000v1 smoke — Universal Dynamics of Warmup Stable Decay: understanding WSD
6018542	0.997900	1.0	keep	autoresearch ava-jspace 2312.03386v2 smoke — An Infinite-Width Analysis on the Jacobian-Regularised Train
6018542	0.997900	1.0	keep	autoresearch ava-jspace 2606.23942v1 smoke — DREG: A Layer-Wise Jacobian Regularization as a General-Purp
6018542	0.997900	1.0	keep	autoresearch ava-jspace 2410.13859v1 smoke — Gamma-MoD: Exploring Mixture-of-Depth Adaptation for Multimo
1cd251a	0.997900	1.0	keep	autoresearch ava-jspace 2406.20875v1 smoke — Attention Is All You Need For Mixture-of-Depths Routing
1cd251a	0.997900	1.0	keep	autoresearch graphify-rag 2507.03226v2 smoke — Efficient Knowledge Graph Construction and Retrieval from Un
1cd251a	0.997900	1.0	keep	autoresearch graphify-rag 2601.05254v2 smoke — TagRAG: Tag-guided Hierarchical Knowledge Graph Retrieval-Au
1cd251a	0.997900	1.0	keep	autoresearch graphify-rag 2404.14507v2 smoke — GraphRAG: Unlocking Query-Focused Summarization via Graph-Ba
1cd251a	0.997900	1.0	keep	autoresearch bigbang-mcp 2505.02279v1 smoke — A survey of agent interoperability protocols: MCP, ACP, A2A,
1cd251a	0.997900	1.0	keep	autoresearch bigbang-mcp 2504.21018v1 smoke — Advancing Multi-Agent Systems Through Model Context Protocol
1cd251a	0.997900	1.0	keep	autoresearch bigbang-mcp 2601.11595v2 smoke — Enhancing Model Context Protocol (MCP) with Context-Aware Se
1cd251a	0.997900	1.0	keep	autoresearch ava-training 2512.20645v2 smoke — Machine learning methods for subpixel trajectory reconstruct
1cd251a	0.997900	1.0	keep	autoresearch ava-training 2607.14035v1 smoke — Optimizing Visibility in Generative Engines: A Critical Surv
1cd251a	0.997900	1.0	keep	autoresearch ava-training 2607.14040v1 smoke — Can an Old Dog Be Taught New Tricks? Taking LLMs Beyond Sent
ee78c38	0.997900	1.0	keep	autoresearch ava-training 2607.12993v2 smoke — X-Lens: Real-Time Metric Depth Estimation with Heterogeneous
ee78c38	0.997900	1.0	keep	autoresearch ava-training 2607.14049v1 smoke — Deep Interaction: An Efficient Human-AI Interaction Method f
ee78c38	0.997900	1.0	keep	autoresearch ava-training 2606.13061v2 smoke — LaME: Learning to Think in Latent Space for Multimodal Embed
c4c2266	0.997900	1.0	keep	autoresearch ava-training 2603.16752v3 smoke — Constructing Deployment Scenarios for Reserve Deliverability
b89ac70	0.997900	1.0	keep	autoresearch ava-training 2607.14051v1 smoke — Hindcast: Replaying Prediction Markets to Evaluate LLM Forec
be7c869	0.997900	1.0	keep	autoresearch graphify-rag 2607.14054v1 smoke — Fast Cascaded Recursive Filtering via a Block-Matrix Reformu
be7c869	0.997900	1.0	keep	autoresearch ava-training 2607.10936v2 smoke — Bandit PCA with Minimax Optimal Regret
